Name,YMLs,Invalid YMLs,Functions,Plugins,Packages,Global Policy Version,Function Policy Version,YML LOC,Functions Defined Externally,Resources,YMLs with Global Policies,Number of Global Statements,Number of Global Roles,Functions with Policies,Number of Functions with Roles,Number of Function Statements,Allows Invoke,Global Invoke,AWS Lambda Project
/data/serverless-dataset/serverless/dashboard-plugin,15,9,39,0,0,None,None,299,0,0,1,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/serverless-open-runtime,3,0,2,0,0,None,None,108,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/event-gateway-workshop,11,0,11,12,0,None,None,238,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/workshop,5,1,2,1,0,None,None,94,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/scope,1,0,5,0,0,Legacy,None,110,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/boilerplate-googlecloudfunctions-nodejs,1,0,1,1,0,None,None,46,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/k1LoW/utsusemi,1,0,7,3,0,Legacy,None,160,0,0,1,3,0,0,0,0,True,True,True
/data/serverless-dataset/Accenture/alexia-starter-kit,1,0,1,0,0,None,None,77,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/Accenture/serverless-ephemeral,2,0,4,2,0,None,None,89,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/xpeppers/serverless-tdd,1,0,1,1,0,None,None,16,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/dumrauf/serverless_static_website_with_basic_auth,2,2,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/LingFeng0918/jd_scripts,1,0,0,0,0,None,None,81,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/malaquiasdev/ghiblidb-graphql,1,0,0,2,0,Legacy,None,52,1,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/passerby-b/JDDJ,1,0,0,0,0,None,None,57,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/alpersonalwebsite/cloudformation,1,1,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/model-zoo/scikit-learn-lambda,1,0,1,0,0,None,None,75,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/chrisxue815/realworld-aws-lambda-dynamodb-go,1,0,19,0,0,Legacy,None,442,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/davidgf/serverless-http-basic-auth,1,0,2,0,0,None,None,33,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/davidgf/serverless-cognito,1,0,2,0,0,None,None,87,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/davidgf/serverless-plugin-canary-deployments,1,0,4,2,0,Legacy,None,103,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/ruromgar/remote_jobs_bot,1,0,1,0,0,None,None,18,0,0,0,0,0,0,0,0,False,False,True
