YML File,Prolog File,FNs Using Roles,FN Count,Private FN Count,Public FN Count,Resource Count,Public RW Resources,Public RO Resources,Public WO Resources,Private Resources,dynamodb Resources,rds Resources,secretsmanager Resources,route53 Resources,kinesis Resources,s3 Resources,apigateway Resources,sqs Resources,ssm Resources,sdb Resources,event Resources,kms Resources,sns Resources,Global IAM Stmts,Min Stmts Defined Per FN,Max Stmts Defined Per FN,Avg Stmts Defined Per FN,Full Wildcard Resources,Full Wildcard Permissions,Partial Wildcard Resources,Partial Wildcard Permissions,Permission Facts Generated,Min Facts Generated Per FN,Max Facts Generated Per FN,Avg Facts Generated Per FN,Event Triggers,S3 Triggers,IoT Triggers,Stream Msg Triggers,SNS Msg Triggers
/data/serverless-dataset/ivanderbu2/serverless-newsletter-signup/serverless.yml,/data/results/ivanderbu2-serverless-newsletter-signup-414.pl,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,5,5,5.0,0,0,0,0,0
/data/serverless-dataset/seratch/slack-app-examples/reacjilator-java-sdk/serverless.yml,/data/results/seratch-slack-app-examples-416.pl,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,4,4,4.0,1,0,0,0,0
/data/serverless-dataset/seratch/slack-weather-radar-map/serverless-aws/serverless.yml,/data/results/seratch-slack-weather-radar-map-417.pl,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,2,2,2.0,0,0,0,0,0
/data/serverless-dataset/CodemoreLA/serverless-node-course/3_s3_notifications/2_template_pseudo_code/serverless.yml,/data/results/CodemoreLA-serverless-node-course-425.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,4,0,0,0
/data/serverless-dataset/CodemoreLA/serverless-node-course/3_s3_notifications/8_send_email/serverless.yml,/data/results/CodemoreLA-serverless-node-course-426.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,4,0,0,0
/data/serverless-dataset/CodemoreLA/serverless-node-course/3_s3_notifications/9_complete_the_handler/serverless.yml,/data/results/CodemoreLA-serverless-node-course-427.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,4,0,0,0
/data/serverless-dataset/CodemoreLA/serverless-node-course/3_s3_notifications/6_config_file/serverless.yml,/data/results/CodemoreLA-serverless-node-course-428.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,4,0,0,0
/data/serverless-dataset/CodemoreLA/serverless-node-course/3_s3_notifications/7_generating_email_content/serverless.yml,/data/results/CodemoreLA-serverless-node-course-429.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,4,0,0,0
/data/serverless-dataset/CodemoreLA/serverless-node-course/3_s3_notifications/3_extracting_event_data/serverless.yml,/data/results/CodemoreLA-serverless-node-course-430.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,4,0,0,0
/data/serverless-dataset/CodemoreLA/serverless-node-course/3_s3_notifications/4_event_filters/serverless.yml,/data/results/CodemoreLA-serverless-node-course-431.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,4,0,0,0
/data/serverless-dataset/adnanrahic/serverless-docker-image-resize/functions/serverless.yml,/data/results/adnanrahic-serverless-docker-image-resize-434.pl,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,2,2,2.0,0,0,0,0,0
/data/serverless-dataset/gridaco/base/resources-service/serverless.yml,/data/results/gridaco-base-437.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/gridaco/base/hosting-service/serverless.yml,/data/results/gridaco-base-438.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/squareboat/serverless-media-worker/serverless.yml,/data/results/squareboat-serverless-media-worker-448.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,2,0,0,0,0,1,1,0,0,0
/data/serverless-dataset/contentful/apps/apps/ai-image-tagging/lambda/serverless.yml,/data/results/contentful-apps-449.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,4,4,4.0,0,0,0,0,0
/data/serverless-dataset/marksteele/edge-rewrite/serverless.yml,/data/results/marksteele-edge-rewrite-453.pl,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3.0,0,0,0,0,0
/data/serverless-dataset/tholcman/deeplens-challenge/count-exercise/serverless.yml,/data/results/tholcman-deeplens-challenge-454.pl,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/hardyscc/aws-nestjs-starter/serverless.yml,/data/results/hardyscc-aws-nestjs-starter-463.pl,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,7,7,7.0,0,0,0,0,0
/data/serverless-dataset/rowanwins/geotiff-server/serverless.yaml,/data/results/rowanwins-geotiff-server-464.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/rowanwins/geotiff-server/landsat-serverless.yaml,/data/results/rowanwins-geotiff-server-465.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/yunspace/serverless-golang/examples/aws-golang-kinesis/serverless.yml,/data/results/yunspace-serverless-golang-466.pl,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
/data/serverless-dataset/alitelabs/tyx/samples/sample7-errors/serverless.yml,/data/results/alitelabs-tyx-468.pl,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/alitelabs/tyx/samples/sample4-remote/serverless.yml,/data/results/alitelabs-tyx-469.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/alitelabs/tyx/samples/sample10-todos/serverless.yml,/data/results/alitelabs-tyx-470.pl,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,11,11,11,11.0,0,0,0,0,0
/data/serverless-dataset/alitelabs/tyx/samples/sample3-proxy/serverless.yml,/data/results/alitelabs-tyx-471.pl,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
